Dato;Trafikkmengde_num
05.11.2024;4191.0
06.11.2024;4151.0
07.11.2024;4003.0
08.11.2024;3438.0
09.11.2024;1613.0
10.11.2024;1069.0
11.11.2024;3936.0
12.11.2024;3713.0
13.11.2024;3705.0
14.11.2024;3873.0
15.11.2024;3540.0
16.11.2024;1584.0
17.11.2024;1195.0
18.11.2024;3583.0
19.11.2024;3285.0
20.11.2024;3163.0
21.11.2024;2978.0
22.11.2024;2585.0
23.11.2024;1420.0
24.11.2024;401.0
25.11.2024;3074.0
26.11.2024;3025.0
27.11.2024;3322.0
28.11.2024;3166.0
29.11.2024;2947.0
30.11.2024;1200.0
01.12.2024;990.0
02.12.2024;2850.0
03.12.2024;3353.0
04.12.2024;2485.0
05.12.2024;2058.0
06.12.2024;2271.0
07.12.2024;746.0
08.12.2024;1069.0
09.12.2024;3041.0
10.12.2024;2775.0
11.12.2024;2766.0
12.12.2024;2719.0
13.12.2024;2473.0
14.12.2024;1212.0
15.12.2024;906.0
16.12.2024;2797.0
17.12.2024;2872.0
18.12.2024;1922.0
19.12.2024;3140.0
20.12.2024;2791.0
21.12.2024;995.0
22.12.2024;847.0
23.12.2024;1500.0
24.12.2024;367.0
25.12.2024;466.0
26.12.2024;703.0
27.12.2024;1362.0
28.12.2024;980.0
29.12.2024;754.0
30.12.2024;1431.0
31.12.2024;535.0
